word,level
charter,C1
chase,B2
chat,B1
chauffer,C1
cheap,A2
cheat,B2
check,A1
checkout,B1
checkpoint,B2
cheek,B2
cheeky,B2
cheer,B2
cheerful,B1
cheerfully,B2
cheerfulness,B2
cheese,A1
chef,A2
chemical,A2
chemist,B1
chemistry,B1
chemotherapy,B2
cheque,A2
cherish,B1
cherished,B2
cherry,B2
chess,A2
chest,A2
chew,B2
chicken,A1
chief,B2
child,A1
childhood,A2
childish,B2
chill,C1
chilly,C1
chimney,B2
chimpanzee,A2
chin,A2
chip,B2
chirp,A2
chisel,C1
chiselled,C1
chocolate,A1
choice,A2
choir,B1
choke,B1
choose,A1
chop,B2
choreographical,C2
choreography,C2
christian,B1
chronological,B1
chronologically,C2
chronology,C2
chrysalis,C2
chuckle,B1
chunk,B2
church,A1
churn,C1
cigarette,A2
cinema,A1
cinematographer,C2
cinematography,C2
circle,A1
circuit,B2
circuitry,B2
circular,B1
circulate,C1
circulation,C1
circumnavigate,C2
circumnavigation,C2
circumstance,B2
circus,B1
citation,C1
cite,B2
citizen,B2
citizenship,B1
city,A1
citywide,B2
civil,B2
civilization,B2
claim,B1
clam,B2
clammy,C1
clan,C1
clap,B2
clarify,B2
class,A1
classic,B2
classical,B1
classification,B2
classify,B2
classmate,A1
classroom,A1
classy,C1
clause,B2
claustrophobia,C1
claustrophobic,C1
clean,A1
cleaner,A2
cleanly,C1
clear,A2
clearly,A2
clearness,B2
clench,C1
clerical,B2
clerk,A2
clever,A1
cleverness,C1
click,B1
client,B2
cliff,B2
climactic,C1
climate,B1
climax,C1
climb,A1
climber,B1
climbing,A2
clinch,C2
clinic,B2
clinical,C1
clip,B2
cloak,C1
clock,A1
clog,B2
cloister,C2
cloistered,C2
clone,A2
close,B2
closed,A1
closely,B2
closeness,C1
closure,B2
cloth,A1
clothes,A1
clothing,B2
cloud,A1
cloudy,A1
clown,A2
club,A1
clue,A2
clumsy,B2
clutch,C1
clutter,C1
coach,A1
coaching,B2
coal,B1
coalition,B2
coarse,B2
coast,A2
coastal,B1
coastline,B2
coat,A1
coax,C2
cocktail,B2
cocoa,B2
coconut,B2
cocoon,C2
code,A1
coffee,A1
coffin,B1
cogent,C2
cogently,C2
cognitive,C2
coherence,B2
coherent,B2
coin,A2
coincide,B2
coincidence,B2
coke,A1
cola,A2
cold,A1
collaborate,C1
collaboration,C1
collaborative,C1
collaborator,C1
collapse,B2
collar,B1
colleague,B2
collect,A1
collection,A1
collector,B2
college,A1
collide,C2
collider,C2
collocation,B2
colloquial,C2
colloquially,C2
colloquium,C2
colon,B2
colonial,B2
colony,B2
colourful,B2
column,A2
columnist,B1
coma,B2
comb,A2
combination,B2
combine,B1
combustion,C2
come,A1
comedian,B1
comedy,B1
comet,B1
comfort,B2
comfortable,A2
comfortably,B2
comic,B2
comma,B1
command,B2
commander,B2
commemorate,B2
commend,C1
commendation,C1
commensurate,C2
commensurately,C2
comment,B1
commerce,B2
commercial,B1
commercially,C1
commission,B2
commit,B1
commitment,B2
committee,B2
commode,C2
commodity,C2
common,A2
commonly,B2
commonwealth,B2
communicate,A2
communication,A2
communicative,B2
community,B2
commute,B2
companion,B1
company,A2
comparative,B2
compare,A2
comparison,B1
compassion,B2
compassionate,B2
compatible,B2
compel,C1
compellingly,C2
compensate,B2
compensation,B2
compete,B1
competence,B2
competent,B2
competition,A2
competitive,B1
competitor,B1
compile,B2
complain,A2
complaint,A2
complement,B1
complementary,C1
complete,A2
completely,B1
completion,B2
complex,B2
complexion,B2
complexity,B2
compliance,C1
compliant,C1
compliantly,C1
complicate,B1
complicated,B2
compliment,B1
complimentary,C1
comply,C1
component,B2
compose,B2
composer,B2
composition,B1
compound,B2
comprehension,B2
comprehensive,B2
compress,B2
compression,B2
comprise,B2
compromise,B1
compromised,C1
compulsion,C1
compulsory,B2
compute,B2
computer,A1
conceal,B2
concede,B2
conceit,B2
conceivable,B2
conceive,B2
concentrate,A2
concentration,B2
concept,B2
conception,B2
concern,B2
concerned,B2
concerning,B2
concert,A1
concerto,C1
concession,B2
conciliation,C2
conciliatory,C2
conclude,B1
conclusion,B1
concrete,B2
concur,C1
concurrence,C2
condemn,B2
condensation,C2
condition,A2
conditional,C1
conditionally,C1
condone,C2
conduct,B2
conductor,B2
conduit,C2
cone,B2
confabulate,C2
confabulation,C2
confection,C2
conference,B2
conferencing,B2
confess,B2
confession,B2
confide,C1
confidence,B2
confident,A2
confidently,B2
confine,B2
confinement,C1
confirm,B1
confirmation,B1
conflict,B2
conform,C1
conformity,C1
confront,B2
confrontational,C2
confrontationally,C2
confuse,A2
confused,A2
confusing,B2
confusion,B2
conglomerate,C2
congratulate,B1
congregate,C1
conjecture,C2
conjunction,B2
conjure,C1
connect,B1
connoisseur,C1
connotation,C2
connote,C2
conquer,B1
conquest,B2
